,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque
1529,2018,850000,7800,Petrol,1,1,First Owner,17.5,1199,88.7,5,110.0
1530,2016,240000,50000,Petrol,1,1,First Owner,22.74,796,47.3,5,69.0
1531,2011,950000,68000,Diesel,1,1,First Owner,13.1,2499,141.0,7,330.0
1532,2015,423000,60000,Petrol,1,1,Second Owner,16.02,1373,93.7,7,130.0
1533,2005,90000,74000,Petrol,1,1,Second Owner,12.8,1396,85.0,5,118.0
1534,2011,350000,58000,Diesel,1,1,Second Owner,13.93,2179,138.1,7,320.0
1535,2011,170000,70000,Petrol,1,1,Third Owner,19.0,998,66.1,5,90.0
1536,2015,450000,70000,Petrol,1,1,First Owner,18.16,1196,86.8,5,112.0
1537,2016,511000,80000,Diesel,1,1,First Owner,22.54,1396,88.73,5,220.0
1538,2018,250000,110000,Diesel,1,1,First Owner,25.0,1396,69.0,5,140.0
1539,2020,420000,25000,Petrol,1,1,First Owner,21.63,998,67.04,5,90.0
1540,2014,180000,55000,Petrol,1,1,First Owner,22.74,796,47.3,5,69.0
1541,2015,400000,25000,Diesel,1,1,First Owner,27.62,793,47.0,5,125.0
1542,2016,500000,143200,Diesel,1,1,First Owner,25.83,1498,99.0,5,215.0
1543,2017,1689999,60000,Diesel,1,1,First Owner,17.1,1956,170.0,5,350.0
1544,2012,204999,120000,Diesel,1,1,First Owner,23.08,1461,63.1,5,160.0
1545,2014,459999,145000,Diesel,1,1,Second Owner,26.21,1248,88.5,5,200.0
1546,2019,585000,8000,Petrol,1,1,First Owner,18.9,1197,81.86,5,114.0
1547,2012,551000,170000,Diesel,1,1,First Owner,13.1,2499,141.0,7,330.0
1548,2013,525000,100000,Diesel,1,1,First Owner,23.4,1248,74.0,5,190.0
1549,2012,160000,62000,Petrol,1,1,First Owner,14.0,796,35.0,5,60.0
1550,2014,825000,110000,Diesel,1,1,First Owner,15.1,2179,140.0,7,330.0
1551,2015,600000,80000,Diesel,1,1,Second Owner,13.58,2499,72.4,9,171.0
1552,2002,65000,80000,Petrol,1,1,Second Owner,17.3,993,60.0,5,78.0
1553,2013,550000,100000,Diesel,1,1,First Owner,23.4,1248,74.0,5,190.0
1554,2015,650000,120000,Diesel,1,1,First Owner,15.96,2523,63.0,9,180.0
1555,2019,750000,24000,Diesel,1,1,First Owner,28.4,1248,74.02,5,190.0
1556,2017,380000,80000,Diesel,1,1,First Owner,25.32,1198,77.0,6,190.0
1557,2012,400000,138000,Diesel,1,1,First Owner,22.32,1582,126.32,5,260.0
1558,2003,50000,147000,Petrol,1,1,Fourth & Above Owner,18.9,998,67.1,5,90.0
1559,2017,750000,60000,Diesel,1,1,First Owner,18.49,1493,100.0,7,240.0
1560,2011,150000,80000,Petrol,1,1,First Owner,18.0,995,62.0,5,91.0
1561,2016,245000,50000,Petrol,1,1,First Owner,22.74,796,47.3,5,69.0
1562,2013,260000,189000,Diesel,1,1,First Owner,21.02,1248,88.76,5,200.0
1563,2014,411000,90000,Diesel,1,0,Second Owner,21.21,1498,103.2,5,250.0
1564,2014,450000,56000,Diesel,1,1,First Owner,21.9,1396,88.76,5,220.0
1565,2012,1300000,140000,Diesel,1,0,Second Owner,18.88,1995,184.0,5,380.0
1566,2016,351000,60000,Petrol,1,1,First Owner,23.1,998,67.04,5,90.0
1567,2012,550000,130000,Diesel,1,1,First Owner,15.1,2179,140.0,7,330.0
1568,2013,1300000,140000,Diesel,1,0,Second Owner,18.88,1995,184.0,5,380.0
1569,2015,800000,35000,Diesel,1,1,First Owner,20.45,1461,83.8,5,200.0
1570,2011,350000,156000,Diesel,1,1,First Owner,11.57,2179,138.1,7,320.0
1571,2013,200000,90000,Petrol,1,1,First Owner,22.74,796,47.3,5,69.0
1572,2008,150000,60000,Diesel,1,1,Third Owner,17.0,1405,70.0,5,133.0
1573,2016,800000,36000,Diesel,1,1,First Owner,19.01,1461,108.5,5,248.0
1574,2011,350000,160000,Diesel,1,1,First Owner,13.93,2179,138.0,7,320.0
1575,2006,250000,185000,Diesel,1,1,First Owner,12.7,2609,116.6,9,278.0
1576,2010,170000,110000,Diesel,1,1,Second Owner,17.0,1405,71.0,5,135.0
1577,2018,395000,10800,Petrol,1,1,First Owner,25.17,799,53.3,5,72.0
1578,2012,450000,120000,Diesel,1,1,First Owner,15.96,2523,62.1,7,195.0
1579,2019,500000,15000,Petrol,1,1,First Owner,20.89,1197,81.8,5,113.0
1580,2012,200000,67500,Diesel,1,1,First Owner,12.2,1948,68.0,10,1128.0
1581,2017,1200000,30000,Diesel,1,1,First Owner,17.6,2179,153.86,7,400.0
1582,2016,400000,50000,Diesel,1,1,First Owner,25.32,1198,77.0,6,190.0
1583,2016,650000,100000,Diesel,1,1,First Owner,18.49,1493,100.0,7,240.0
1584,2016,550000,150000,Diesel,1,1,First Owner,15.96,2523,63.0,9,180.0
1585,2012,254999,30000,Petrol,1,1,First Owner,22.74,796,47.3,5,69.0
1586,2011,180000,60000,Petrol,1,1,First Owner,19.7,796,46.3,5,62.0
1587,2010,160000,255000,Diesel,1,1,Second Owner,13.0,2489,95.0,8,220.0
1588,2008,225000,120000,Diesel,1,1,Second Owner,16.52,1991,123.7,5,305.0
1589,2015,270000,49900,Petrol,1,1,Second Owner,22.74,796,47.3,5,69.0
1590,2015,225000,71850,Petrol,1,1,First Owner,20.63,1198,67.0,5,104.0
1591,2015,300000,95000,Diesel,1,1,Third Owner,21.2,1248,75.0,5,197.0
1592,2008,250000,70000,Petrol,1,1,Fourth & Above Owner,17.5,1298,85.8,5,114.0
1593,2011,180000,35000,Petrol,1,1,First Owner,21.1,814,55.2,5,75.0
1594,2015,550000,50000,Petrol,1,1,First Owner,20.85,1197,83.14,5,115.0
1595,2007,300000,120000,Diesel,1,1,Third Owner,13.6,2523,63.0,7,180.0
1596,2015,900000,145000,Diesel,1,1,First Owner,22.7,1582,126.2,5,260.0
1597,2018,1530000,40000,Diesel,1,1,First Owner,16.0,2179,138.0,7,330.0
1598,2015,590000,110000,Diesel,1,1,First Owner,27.39,1248,74.0,5,190.0
1599,2008,170000,112000,LPG,1,1,Second Owner,28.89,1061,57.5,5,77.0
1600,2017,2600000,70000,Diesel,1,0,First Owner,20.38,1968,143.0,5,320.0
1601,2016,475000,110000,Diesel,1,1,First Owner,23.2,1248,73.94,5,190.0
1602,2018,700000,29000,Diesel,1,1,First Owner,24.0,1186,73.97,5,191.0
1603,2012,440000,120000,Diesel,1,0,Third Owner,11.79,2179,120.0,8,290.0
1604,2016,390000,80000,Petrol,1,1,First Owner,20.51,998,67.04,5,90.0
1605,2012,725000,159000,Diesel,1,1,Second Owner,12.8,2494,102.0,7,201.0
1606,2012,325000,110000,Diesel,1,1,Second Owner,15.96,2523,62.1,7,195.0
1607,2010,170000,75000,Petrol,1,1,Second Owner,19.7,796,46.3,5,62.0
1608,2010,215000,120000,Diesel,1,1,Third Owner,19.3,1248,73.9,5,190.0
1609,2010,350000,110000,Petrol,1,1,Third Owner,17.0,1497,118.0,5,146.0
1610,2009,80000,80000,Petrol,1,1,Fourth & Above Owner,18.0,995,62.0,5,91.0
1611,2014,335000,71000,Diesel,0,1,First Owner,21.64,1461,84.8,5,200.0
1612,2011,475000,108000,Diesel,0,1,First Owner,16.0,2179,140.0,7,330.0
1613,2015,484999,75000,Diesel,0,1,First Owner,19.87,1461,83.8,5,200.0
1614,2018,650000,22000,Petrol,1,1,Second Owner,21.56,1462,103.25,5,138.0
1615,2014,1850000,76131,Diesel,1,0,First Owner,13.22,2967,241.4,5,580.0
1616,2018,700000,30000,Petrol,1,1,Second Owner,18.6,1197,81.83,5,115.0
1617,2014,3000000,65000,Diesel,1,0,First Owner,12.07,2967,241.4,7,550.0
1618,2018,900000,60000,Diesel,1,1,First Owner,15.4,2523,75.0,7,200.0
1619,2013,350000,80000,Diesel,1,1,First Owner,22.07,1199,73.9,5,180.0
1620,2005,285000,80000,Petrol,1,0,Second Owner,9.0,2997,218.0,5,196.0
1621,2012,1850000,70000,Diesel,1,0,First Owner,12.07,2967,241.4,7,550.0
1622,2017,750000,51777,Diesel,0,1,First Owner,24.3,1248,88.5,5,200.0
1623,2013,1650000,64788,Diesel,0,0,First Owner,0.0,2179,115.0,5,400.0
1624,2018,600000,20000,Petrol,1,1,First Owner,19.5,1199,88.76,5,110.0
1625,2018,565000,19000,Petrol,1,1,First Owner,18.78,999,75.0,5,95.0
1626,2000,86000,46951,Petrol,1,1,First Owner,18.5,796,53.0,5,71.0
1627,2016,329000,19000,Petrol,1,1,First Owner,20.63,1198,67.0,5,104.0
1628,2016,650000,50000,Diesel,1,1,First Owner,22.77,1498,98.59,5,205.0
1629,2015,822000,60000,Diesel,1,1,First Owner,19.67,1582,126.2,5,260.0
1630,2013,345000,100000,Diesel,1,1,Second Owner,19.01,1461,108.45,5,248.0
1631,2001,30000,10000,Petrol,1,1,First Owner,17.3,993,60.0,5,78.0
1632,2012,330000,50000,Diesel,1,1,Second Owner,22.9,1248,74.0,5,190.0
1633,2014,300000,74537,Petrol,1,1,Second Owner,20.51,998,67.04,5,90.0
1634,2009,200000,90000,Petrol,1,0,Second Owner,12.6,1586,103.3,5,145.0
1635,2010,90000,70000,Petrol,1,1,Second Owner,18.0,995,62.0,5,91.0
1636,2010,200000,80000,Petrol,1,1,Second Owner,18.9,1061,67.0,5,84.0
1637,2016,550000,35000,Diesel,1,1,First Owner,24.4,1120,71.0,5,181.0
1638,2015,250000,23500,Petrol,1,1,First Owner,18.6,1199,76.8,5,107.0
1639,2017,975000,82000,Diesel,1,1,First Owner,25.6,1498,97.9,5,200.0
1640,2014,900000,100000,Diesel,1,1,Second Owner,12.99,2494,100.6,8,200.0
1641,2018,610000,15000,Petrol,1,1,First Owner,18.6,1197,81.83,5,115.0
1642,2017,620000,30000,Diesel,1,1,First Owner,27.39,1248,74.0,5,190.0
1643,2016,400000,30000,Petrol,1,1,First Owner,18.9,1197,82.0,5,114.0
1644,2019,500000,11000,Petrol,1,1,First Owner,21.63,998,67.0,5,90.0
1645,2017,200000,140000,Petrol,1,1,First Owner,19.02,1198,67.05,7,104.0
1646,2012,252000,48000,Petrol,1,1,First Owner,20.92,998,67.1,5,90.0
1647,2012,280000,70000,Diesel,1,1,Second Owner,22.9,1248,74.0,5,190.0
1648,2018,509999,70000,Petrol,1,1,Second Owner,22.0,1197,81.8,5,113.0
1649,2016,1050000,58000,Diesel,1,1,First Owner,15.4,1997,120.0,7,280.0
1650,2010,200000,40000,LPG,1,1,Fourth & Above Owner,28.89,1061,57.5,5,77.0
1651,2010,320000,40000,Diesel,1,1,Second Owner,14.0,2498,112.0,7,260.0
1652,2013,520000,110000,Diesel,1,1,First Owner,12.05,2179,120.0,9,290.0
1653,2007,250000,80000,Diesel,1,1,Second Owner,11.57,2179,138.1,7,320.0
1654,2017,725000,60000,Diesel,1,1,First Owner,24.3,1248,88.5,5,200.0
1655,2017,430000,25000,Petrol,1,1,First Owner,23.84,1199,84.0,5,114.0
1656,2011,235000,100000,Diesel,1,1,Second Owner,22.9,1248,74.0,5,190.0
1657,2012,350000,52000,Diesel,1,1,Third Owner,19.3,1248,73.9,5,190.0
1658,2010,131000,80000,Petrol,1,1,Third Owner,19.81,1086,68.05,5,100.0
1659,2016,450000,85000,Diesel,1,1,First Owner,25.8,1498,98.6,5,200.0
1660,2016,750000,83000,Diesel,1,1,First Owner,24.3,1248,88.5,5,200.0
1661,2009,125000,120000,Petrol,1,1,Fourth & Above Owner,18.9,1061,67.0,5,84.0
1662,2014,500000,100000,Diesel,1,1,First Owner,15.96,2523,62.1,7,195.0
1663,2012,380000,70000,Diesel,1,1,Third Owner,22.9,1248,74.0,5,190.0
1664,2008,128000,19000,Petrol,1,1,First Owner,19.7,796,46.3,5,62.0
1665,2009,250000,68600,Petrol,1,1,Third Owner,17.0,1497,118.0,5,146.0
1666,2012,560000,40000,Petrol,1,1,Second Owner,16.8,1497,116.3,5,146.0
1667,2016,400000,25000,Petrol,1,1,First Owner,23.1,998,67.04,5,90.0
1668,2012,200000,29500,Petrol,1,1,First Owner,20.92,998,67.1,5,90.0
1669,2016,300000,50000,Petrol,1,1,Second Owner,22.74,796,47.3,5,69.0
1670,2016,315000,30000,Petrol,1,1,Second Owner,25.17,799,53.3,5,72.0
1671,2012,220000,100000,Petrol,1,1,First Owner,22.74,796,47.3,5,69.0
1672,2011,130000,60000,Petrol,1,1,Second Owner,14.49,1399,92.7,5,127.0
1673,2016,595000,60000,Diesel,1,1,Second Owner,22.54,1396,88.73,5,220.0
1674,2017,680000,13500,Petrol,1,1,First Owner,17.0,1497,121.36,5,150.0
1675,2017,530000,30000,Petrol,1,1,Second Owner,21.4,1197,83.1,5,115.0
1676,2017,610000,14000,Petrol,1,1,First Owner,19.1,1197,82.0,5,114.0
1677,2014,500000,90000,Diesel,1,1,Second Owner,15.05,2179,147.9,7,320.0
1678,2018,500000,50000,Diesel,1,1,First Owner,24.7,1047,69.0,5,140.0
1679,2018,325000,10000,Petrol,1,1,First Owner,21.1,814,55.2,5,75.0
1680,2018,550000,10000,Petrol,1,1,First Owner,21.4,1197,83.1,5,115.0
1681,2018,720000,25000,Petrol,1,1,First Owner,20.73,1373,91.1,5,130.0
1682,2017,950000,20000,Petrol,1,1,First Owner,17.0,1591,121.3,5,151.0
1683,2013,350000,60000,Diesel,1,1,First Owner,22.9,1248,74.0,5,190.0
1684,2018,500000,40000,Petrol,1,1,First Owner,18.9,1197,81.86,5,114.0
1685,2012,380000,60000,Diesel,1,1,First Owner,19.3,1248,73.9,5,190.0
1686,2015,380000,50000,Petrol,1,0,First Owner,16.9,1197,82.0,5,114.0
1687,2017,900000,20000,Petrol,1,1,First Owner,17.0,1591,121.3,5,151.0
1688,2017,295000,35000,Petrol,1,1,First Owner,24.7,796,47.3,5,69.0
1689,2016,640000,40000,Diesel,1,1,First Owner,28.09,1248,88.5,5,200.0
1690,2018,790000,60000,Diesel,1,1,First Owner,21.5,1497,108.5,5,260.0
1691,2015,625000,20000,Petrol,1,1,First Owner,17.01,1591,121.4,5,155.0
1692,2017,604000,30000,Petrol,1,1,Second Owner,17.0,1497,121.36,5,150.0
1693,2019,950000,17000,Diesel,1,1,First Owner,20.0,1497,115.0,5,300.0
1694,2017,400000,50000,Petrol,1,1,First Owner,20.51,998,67.04,5,90.0
1695,2018,700000,42000,Petrol,1,0,First Owner,18.6,1368,98.63,5,133.0
1696,2011,700000,120000,Diesel,1,1,Second Owner,12.8,2494,102.0,8,201.0
1697,2012,260000,110000,Diesel,1,1,First Owner,21.03,1461,65.0,5,160.0
1698,2012,200000,90000,Diesel,1,1,First Owner,23.57,1396,70.0,5,140.0
1699,2020,580000,70000,Petrol,1,1,First Owner,23.26,1197,88.5,5,113.0
1700,2011,330000,66000,Diesel,1,1,Second Owner,20.5,1598,105.0,5,250.0
1701,2011,400000,70000,Diesel,1,1,Third Owner,16.2,1493,110.0,5,236.0
1702,2018,1350000,5000,Petrol,1,0,First Owner,14.8,1591,121.3,5,151.0
1703,2014,250000,50000,Diesel,1,1,Second Owner,21.03,1461,65.0,5,160.0
1704,2019,725000,25000,Petrol,1,1,First Owner,15.41,1598,103.2,5,153.0
1705,2013,300000,70000,Diesel,1,1,First Owner,23.4,1248,74.0,5,190.0
1706,2006,120000,40000,Petrol,1,1,Second Owner,16.1,796,37.0,4,59.0
1707,2016,1175000,110000,Diesel,1,1,First Owner,16.0,2179,140.0,7,330.0
1708,2014,400000,45000,Diesel,1,1,First Owner,19.1,1405,70.0,5,136.0
1709,2005,140000,90000,Diesel,1,1,Third Owner,16.1,1405,70.0,5,133.0
1710,2003,110000,83000,Petrol,1,1,Second Owner,13.8,1299,70.0,5,105.0
1711,2011,550000,106000,Diesel,1,0,Second Owner,16.96,1968,138.1,5,320.0
1712,2008,150000,60000,Petrol,1,1,Fourth & Above Owner,15.26,1150,74.9,5,110.0
1713,2017,265000,40000,Petrol,1,1,Second Owner,16.8,796,34.2,8,59.0
1714,2011,300000,138000,Petrol,1,1,Third Owner,17.0,1197,80.0,5,112.0
1715,2015,280000,80000,Petrol,1,1,First Owner,22.74,796,47.3,5,69.0
1716,2005,130000,50000,Petrol,1,1,Second Owner,15.3,1341,83.0,5,115.0
1717,2015,350000,50000,Petrol,1,1,First Owner,18.2,1199,82.4,5,109.0
1718,2009,200000,120000,Petrol,1,1,First Owner,18.5,1197,85.8,5,114.0
1719,2018,550000,24400,Petrol,1,1,First Owner,22.0,1197,81.8,5,113.0
1720,2013,400000,60000,Diesel,1,1,Second Owner,15.96,2523,62.1,7,195.0
1721,2010,170000,120000,Petrol,1,1,Second Owner,18.5,1197,85.8,5,114.0
1722,2015,600000,60000,Diesel,1,1,Second Owner,24.8,1396,88.7,5,220.0
1723,2011,130000,100000,Petrol,1,1,Second Owner,19.7,796,46.3,5,62.0
1724,2011,100000,120000,Petrol,1,1,Second Owner,16.1,796,37.0,4,59.0
1725,2007,35000,10000,Petrol,1,1,First Owner,16.1,796,37.0,4,59.0
1726,2010,200000,120000,Petrol,1,1,Third Owner,18.5,1197,80.0,5,112.0
1727,2015,509999,90000,Diesel,1,1,First Owner,24.4,1120,71.01,5,181.0
1728,2014,409999,188000,Diesel,1,1,Second Owner,19.01,1461,108.45,5,248.0
1729,2011,130000,67840,Petrol,1,1,First Owner,18.0,995,62.0,5,91.0
1730,2013,95000,30000,Petrol,1,1,First Owner,25.4,624,37.48,4,51.0
1731,2016,225000,35000,Petrol,1,1,Second Owner,22.74,796,47.3,5,69.0
1732,2017,775000,100000,Diesel,1,1,First Owner,24.3,1248,88.5,5,200.0
1733,2017,420000,30000,Petrol,1,1,First Owner,20.51,998,67.04,5,90.0
1734,2016,480000,70000,Petrol,1,1,First Owner,18.9,1197,82.0,5,114.0
1735,2010,260000,380000,Diesel,1,1,Second Owner,13.6,2523,63.0,7,180.0
1736,2018,600000,15000,Petrol,1,1,First Owner,16.2,1199,74.0,5,110.0
1737,2010,130000,120000,Petrol,1,1,Third Owner,19.7,796,35.0,8,60.0
1738,2007,195000,112880,Diesel,0,1,First Owner,25.2,1248,74.0,5,190.0
1739,2013,210000,135000,Diesel,0,1,Second Owner,19.4,1405,70.0,5,136.0
1740,2006,130000,80000,Petrol,1,1,Third Owner,18.9,998,67.1,5,90.0
1741,2012,141000,128000,Petrol,1,1,Third Owner,18.6,1199,79.4,5,108.0
1742,2011,280000,120000,Diesel,1,1,First Owner,13.6,2523,63.0,7,180.0
1743,2010,350000,30000,Petrol,1,0,First Owner,12.6,1586,103.2,5,145.0
1744,2015,550000,41000,Petrol,1,1,First Owner,18.6,1197,81.83,5,115.0
1745,2006,120000,30000,Petrol,1,1,Second Owner,19.7,796,46.3,5,62.0
1746,2015,320000,30000,Petrol,1,1,First Owner,23.95,998,67.05,5,90.0
1747,2010,300000,22000,Petrol,1,1,First Owner,15.0,1586,104.68,5,1422.0
1748,2006,250000,70000,Petrol,1,1,First Owner,18.9,998,67.1,5,90.0
1749,2005,151000,200000,Diesel,1,1,Second Owner,10.5,2179,120.0,8,290.0
1750,2011,300000,120000,Diesel,1,1,First Owner,13.93,2179,138.03,7,320.0
1751,2019,577000,3000,Petrol,1,1,First Owner,20.89,1197,81.8,5,113.0
1752,2012,229999,50000,Petrol,1,1,First Owner,20.92,998,67.1,5,90.0
1753,2013,500000,50000,Diesel,1,1,First Owner,15.96,2523,62.1,7,195.0
1754,2019,840000,1500,Petrol,1,0,First Owner,18.2,1199,88.7,5,110.0
1755,2017,900000,74000,Diesel,1,1,First Owner,22.27,1498,108.6,5,250.0
1756,2017,650000,25000,Petrol,1,1,First Owner,18.7,1199,88.7,5,110.0
1757,2016,650000,61915,Diesel,1,1,First Owner,27.3,1498,98.6,5,200.0
1758,2016,550000,70000,Diesel,1,1,First Owner,20.14,1498,88.0,5,230.0
1759,2007,250000,150000,Diesel,1,1,Fourth & Above Owner,17.8,1248,75.0,5,190.0
1760,2013,350000,110000,Diesel,1,1,Second Owner,17.21,1493,100.0,7,240.0
1761,2014,185000,90000,Diesel,1,1,Second Owner,25.44,936,56.3,5,143.0
1762,2016,1000000,65000,Diesel,1,1,First Owner,12.99,2494,100.6,8,200.0
1763,2019,490000,10000,Petrol,1,1,First Owner,20.52,1197,81.8,5,113.0
1764,2009,150000,80000,Petrol,1,1,Second Owner,20.36,1197,78.9,5,112.0
1765,2013,600000,184000,Diesel,1,1,First Owner,20.77,1248,88.76,7,200.0
1766,2013,270000,80000,CNG,1,1,Second Owner,54.31,998,58.33,5,78.0
1767,2005,60000,70000,Petrol,1,1,Second Owner,17.3,993,60.0,5,78.0
1768,2008,150000,89000,Petrol,1,1,Second Owner,15.6,1586,104.68,5,1422.0
1769,2013,525000,69000,Diesel,1,1,Second Owner,22.9,1248,74.0,5,190.0
1770,2012,83000,90000,Diesel,1,1,Second Owner,25.0,1396,69.0,5,140.0
1771,2012,350000,35000,Petrol,1,1,First Owner,17.0,1197,80.0,5,112.0
1772,2011,300000,45000,Petrol,1,1,First Owner,17.0,1197,80.0,5,112.0
1773,2011,250000,30000,Diesel,1,1,First Owner,20.4,1248,91.2,5,209.0
1774,2018,700000,6200,Petrol,1,1,First Owner,19.34,1462,103.0,7,138.0
1775,2020,250000,120000,Petrol,1,1,Second Owner,21.63,998,67.0,5,90.0
1776,2016,350000,70000,Petrol,1,1,First Owner,20.51,998,67.04,5,90.0
1777,1998,80000,70000,Petrol,1,1,First Owner,14.0,796,35.0,5,60.0
1778,2017,850000,110000,Diesel,1,1,First Owner,15.4,2523,75.0,7,200.0
1779,2007,90000,93000,Petrol,1,1,Third Owner,18.0,995,62.0,5,91.0
1780,2014,600000,110000,Diesel,1,1,First Owner,13.58,2499,72.4,10,171.0
1781,2007,135000,57000,Petrol,1,1,First Owner,19.7,796,46.3,5,62.0
1782,2005,150000,120000,Petrol,1,1,First Owner,13.2,1495,94.0,5,123.0
1783,2012,246000,35000,Diesel,1,1,Second Owner,23.03,1396,69.0,5,140.0
1784,2009,240000,120000,Petrol,1,1,First Owner,17.5,1298,85.8,5,114.0
1785,2011,215000,70000,Diesel,1,1,First Owner,23.03,1396,69.0,5,140.0
1786,2013,310000,100000,Diesel,1,1,First Owner,25.8,1498,98.6,5,200.0
1787,2008,220000,35000,Petrol,1,1,First Owner,20.36,1197,78.9,5,112.0
1788,2008,195000,90000,Diesel,1,1,Third Owner,17.8,1248,75.0,5,190.0
1789,2015,650000,50000,Petrol,1,1,First Owner,17.19,1197,81.86,5,115.0
1790,2011,350000,98000,Petrol,1,1,First Owner,18.5,1197,80.0,5,112.0
1791,2013,360000,30000,Petrol,1,1,First Owner,18.5,1197,82.85,5,114.0
1792,2013,550000,50000,Petrol,1,1,Second Owner,16.3,1797,147.5,5,178.0
1793,2016,490000,26000,Petrol,1,1,First Owner,18.9,1197,82.0,5,114.0
1794,2011,195000,46000,Petrol,1,1,Second Owner,19.7,796,46.3,5,62.0
1795,2019,459999,10000,Petrol,1,1,First Owner,23.84,1199,84.0,5,114.0
1796,2015,275000,16700,Petrol,1,1,First Owner,22.74,796,47.3,5,69.0
1797,2018,680000,70000,Diesel,1,1,First Owner,28.4,1248,74.02,5,190.0
1798,2015,600000,7967,Petrol,1,1,First Owner,20.85,1197,83.14,5,115.0
1799,2018,720000,20000,Petrol,1,1,First Owner,22.0,1197,81.8,5,113.0
1800,2016,356000,9656,Petrol,1,1,First Owner,25.17,799,53.3,5,72.0
1801,2011,225000,50000,Petrol,1,1,First Owner,19.81,1086,68.05,5,100.0
1802,2019,725000,17000,Diesel,1,1,First Owner,24.4,1498,98.63,5,215.0
1803,2015,300000,10000,Petrol,1,1,First Owner,25.17,799,53.3,5,72.0
1804,2013,400000,43000,Petrol,1,1,Second Owner,18.5,1197,82.85,5,114.0
1805,2013,550000,50000,Diesel,1,1,First Owner,23.5,1396,88.7,5,220.0
1806,2006,120000,90000,Petrol,1,1,Second Owner,18.9,998,67.0,5,90.0
1807,2012,409999,100000,Diesel,1,1,Second Owner,14.0,2498,112.0,8,260.0
1808,2010,110000,80000,Petrol,1,1,Second Owner,0.0,1086,62.1,5,97.0
1809,2012,450000,120000,Diesel,1,1,First Owner,15.96,2523,62.1,7,195.0
1810,2019,610000,5000,Petrol,1,1,First Owner,21.21,1197,81.8,5,113.0
1811,2016,515000,68609,Diesel,0,1,First Owner,22.7,1498,89.84,5,204.0
1812,2018,925000,33360,Diesel,0,1,First Owner,22.77,1498,98.59,5,205.0
1813,2019,860000,14317,Petrol,0,1,First Owner,14.23,1498,104.55,5,142.0
1814,2012,225000,87237,Diesel,0,1,Second Owner,20.0,1399,68.05,5,160.0
1815,2017,500000,62960,Diesel,0,1,First Owner,25.83,1498,99.0,5,215.0
1816,2017,600000,26634,Petrol,0,0,First Owner,21.21,1197,81.8,5,113.0
1817,2012,265000,67998,Petrol,0,1,First Owner,18.9,998,67.1,5,90.0
1818,2018,650000,20706,Diesel,0,1,First Owner,23.8,1499,98.63,5,215.0
1819,2015,600000,67303,Diesel,0,1,First Owner,20.45,1461,83.8,5,200.0
1820,2013,340000,79139,Petrol,0,1,First Owner,18.5,1197,85.8,5,114.0
1821,2014,350000,84784,Diesel,0,1,First Owner,24.0,1120,70.0,5,160.0
1822,2012,265000,130376,Diesel,0,1,Second Owner,23.2,1248,73.94,5,190.0
1823,2017,625000,72000,Diesel,1,1,First Owner,13.93,2179,138.03,7,320.0
1824,2008,245000,127000,Diesel,1,1,Second Owner,16.8,1493,110.0,5,236.0
1825,2014,395000,120000,Diesel,1,1,First Owner,25.2,1248,74.0,5,190.0
1826,2014,490000,100000,Diesel,1,1,First Owner,24.4,1120,71.0,5,181.0
1827,2018,955000,40000,Diesel,1,1,First Owner,24.52,1248,88.5,7,200.0
1828,2013,525000,110000,Diesel,1,1,First Owner,23.4,1248,74.0,5,190.0
1829,2017,550000,30000,Petrol,1,1,First Owner,20.3,1199,84.0,5,114.0
1830,2014,200000,120000,Diesel,1,1,Second Owner,19.1,1405,70.0,5,136.0
1831,2017,500000,15000,Petrol,1,1,First Owner,18.16,1196,86.8,5,112.0
1832,2016,825000,33500,Diesel,1,1,First Owner,23.65,1248,88.5,5,200.0
1833,2012,250000,70000,Diesel,1,1,First Owner,17.21,1493,100.0,7,240.0
1834,2015,600000,10000,Petrol,1,1,First Owner,18.16,1197,78.8,5,104.0
1835,2018,1325000,22053,Diesel,1,1,First Owner,16.36,2179,120.0,7,280.0
1836,2011,415000,78432,Diesel,1,1,First Owner,16.52,1991,123.7,5,305.0
1837,2011,825000,125000,Diesel,1,1,Second Owner,14.66,2199,194.3,7,421.0
1838,2012,310000,50000,Petrol,1,1,Second Owner,19.4,1198,86.8,5,109.0
1839,2017,390000,20000,Petrol,1,1,First Owner,23.84,1199,84.0,5,114.0
1840,2016,700000,30000,Petrol,1,1,First Owner,15.29,1591,121.3,5,151.0
1841,2013,1050000,7200,Diesel,1,1,First Owner,12.99,2494,100.6,8,200.0
1842,2014,200000,60000,Petrol,1,1,Second Owner,21.1,814,55.2,5,75.0
1843,2013,245000,25000,Petrol,1,1,First Owner,18.2,1199,84.8,5,113.0
1844,2005,50000,90000,Petrol,1,1,Second Owner,15.4,1590,94.0,5,130.0
1845,2012,700000,50000,Diesel,1,0,Second Owner,12.12,2231,184.0,7,424.0
1846,2019,660000,35000,Diesel,1,1,First Owner,22.95,1248,74.0,5,190.0
1847,2015,630000,117500,Petrol,1,1,Second Owner,17.4,1497,117.3,5,145.0
1848,2012,950000,78500,Diesel,1,1,First Owner,15.1,2179,140.0,7,330.0
1849,2018,740000,8000,Petrol,1,1,First Owner,18.6,1197,81.83,5,115.0
1850,2017,570000,25000,Petrol,1,1,First Owner,18.12,1196,86.8,5,112.0
